SlNo,DIST_NAME,DIST_ID,block_name,BLK_NAME01,id,T_max1,T_max2,T_max3,T_max4,T_max5,T_Min1,T_Min2,T_Min3,T_Min4,T_Min5
281,RAYAGADA,27,Muniguda,Muniguda,281,41,41,42,42,41,26,25,26,27,29
52,BALANGIR,5,Muribahal,Muribahal,52,43,43,44,44,43,26,25,26,27,29
215,MAYURBHANJ,22,Muruda,Muruda,215,39,38,39,40,40,26,25,26,27,29
291,SAMBALPUR,28,Naktideul,Naktideul,291,41,42,42,43,42,26,25,26,27,29
239,NAWARANGAPUR,23,Nandahandi,Nandahandi,239,38,38,39,39,38,26,25,26,27,29
195,KORAPUT,20,Nandapur,Nandapur,195,39,39,39,39,38,26,25,26,27,29
66,CUTTACK,7,Narasinghpur,Narasinghpur,66,40,40,41,41,41,26,25,26,27,29
197,KORAPUT,20,Narayanpatna,Narayanpatna,197,38,38,39,39,38,26,25,26,27,29
138,KALAHANDI,15,Narla,Narla,138,42,42,43,43,42,26,25,26,27,29
115,JAGATSINGHPUR,12,Naugaon,Naugaon,115,38,39,39,40,40,26,25,26,27,29
238,NAWARANGAPUR,23,Nawarangpur,Nawarangpur,238,38,38,38,39,38,26,25,26,27,29
252,NAYAGARH,24,Nayagarh,Nayagarh,252,39,38,39,40,39,26,25,26,27,29
64,CUTTACK,7,Niali,Niali,64,38,39,39,40,40,26,25,26,27,29
15,BALESWAR,2,Nilagiri,Nilagiri,15,39,38,39,40,39,26,25,26,27,29
268,PURI,26,Nimapada,Nimapada,268,38,38,39,40,39,26,25,26,27,29
65,CUTTACK,7,Nischintakoili,Nischintakoili,65,38,39,39,40,40,26,25,26,27,29
85,GAJAPATI,10,Nuagada,Nuagada,85,39,38,39,39,39,26,25,26,27,29
253,NAYAGARH,24,Nuagaon (Nayagarh),Nuagaon (Nayagarh),253,39,39,40,40,40,26,25,26,27,29
308,SUNDARGARH,30,Nuagaon (Sundargarh),Nuagaon (Sundargarh),308,42,42,43,44,43,26,25,26,27,29
259,NUAPADA,25,Nuapada,Nuapada,259,43,42,43,44,43,26,25,26,27,29
254,NAYAGARH,24,Odagaon,Odagaon,254,39,38,39,40,39,26,25,26,27,29
75,DHENKANAL,9,Odapada,Odapada,75,40,40,42,42,42,26,25,26,27,29
277,RAYAGADA,27,Padmapur,Padmapur,277,39,39,39,40,39,26,25,26,27,29
31,BARAGARH,3,Paikamal,Paikamal,31,43,42,43,44,43,26,25,26,27,29
8,ANGUL,1,Palalahada,Palalahada,8,40,40,41,42,42,26,25,26,27,29
241,NAWARANGAPUR,23,Paparahandi,Paparahandi,241,39,39,39,40,39,26,25,26,27,29
